Title,Authors,Cited,Institution (Laboratory/Group),Robot (type),Year,Number of microphones,Array Geometry,Type of microphone,Number of sources located in practice,Maximum distance to source in practice,Mobility of source,Mobility of capture system,Localization dimensions,Design considered noise,Design considered reverberation,Ear (external or canal),DOA estimation metholology,Tracking metholody,Capture hardware,Software framework,Evaluation metrics - unificar
Squirt: the prototypical mobile robot for autonomous graduate students,"Anita M. Flynn, Rodney A. Brooks, William M. Wells III, David S. Barrett",flynn1989squirt,MIT,Squirt (micro-robot),1989,2,Array,,1,,Yes,Yes,Azimuth,Yes,,,ITD via Onset Time,,,,
Elephants don't play chess,Rodney A. Brooks,brooks1990elephants,MIT,Squirt (micro-robot),1990,2,Binaural,,1,,,,Azimuth,,,,ITD via Onset Time,,,,
Study on anthropomorphic auditory robot continuous localization of a sound source in horizontal plane,"A. Takanishi, S. Masukawa, Y. Mori, T. Ogawa",takanishi93study,Waseda University, ,1993,2,,,1,,,,,,,,ITD via Onset Time (variation),,,,
Building brain for bodies,"Rodney A. Brooks, Lynn Andrea Stein",brooks1994building,MIT Artificial Intelligence Lab,"Cog (robot head, torso, and arms)",1993,3,Binaural,,1,,,,Azimuth,,,,,,,,
Building brains for bodies,"Rodney A Brooks, Lynn Andrea Stein",brooks1994building,MIT,Squirt (micro-robot),1994,4,,,1,,,,,,,,,,,,
Development of an anthropomorphic auditory robot that localizes a sound direction (in japanese),"A. Takanishi, S. Masukawa, Y. Mori, T. Ogawa",takanishi1995development,Waseda University, ,1995,2,,,1,,,,,,,,ITD via Onset Time (variation),,,,
Robust sound localization: an application of an auditory perception system for a humanoid robot,Robert Eiichi Irie,irie1995robust,MIT Artificial Intelligence Lab,"Cog (robot head, torso, and arms)",1995,2,Binaural,Omnidirectional,1,1.22 m,,,Azimuth,,,,"Integrating Spatial Cues (ITD, IID, and Spectral Cues)",,"MICROPHONE: Knowles BT1759, DSP: Texas Instruments TMS320C40 (C40) Digital Signal Processor",,Comparison graph
Building ears for robots: sound localization and separation,"Jie Huang,  Noboru Ohnishi, Noboru Sugie",Huang1997aba,"The Institute of Physical and Chemical Research (RIKEN), Nagota University, Meijo University",RWI B12,1997,3,Triangular,Omnidirectional,2,2.9 m,,Yes,Azimuth,,Yes,,ITD via Zero-crossing,Clustering by Past Estimation,In house DSP,,Characterization graph
Mobile robot and sound localization,"Huang, Jie, Supaongprapa, Tadawute, Terakura, Ikutaka, Ohnishi, Noboru, Sugie, Noboru",655085,"The Institute of Physical and Chemical Research (RIKEN), Nagota University, Meijo University",RWI B12,1997,3,Triangular,Omnidirectional,1,1 m,,Yes,Azimuth,Yes,Yes,,ITD via Zero-crossing,,"MTT DSP-1025 with a TMS320C30 chip
",,Detection
Attention-based interaction between human and the robot Chiye,"K. Nagashima, T. Yoshiike, A. Konno, M. Inaba, H. Inoue",646960,The University of Tokyo,Chiye (robotic head),1997,2,Binaural,,1,,,Yes,Azimuth,,,,ITD via Onset Time,,,,Characterization graph
A mobile robot with active localization and disrimination of a sound source (japanese),"F. Wang, Y. Takeuchi, N. Ohnishi, N. Sugie",wang1997mobile,"The Institute of Physical and Chemical Research (RIKEN), Nagota University, Meijo University",(mobile base),1997,3,,,1,,,,Azimuth,,,,ITD via Onset Time,,,,Detection
Multimodal sensory integration for localization in a humanoid robot,Robert Irie,irie97multimodal,MIT Artificial Intelligence Lab,"Cog (robot head, torso, and arms)",1997,2,Binaural,Omnidirectional,1,,,,Azimuth,,,Yes,Trained on IID,,,,
Sound localization in reverberant environment based on the model of the precedence effect,"Jie Huang, Noboru Ohnishi, Noboru Sugie",huang1997sound,"The Institute of Physical and Chemical Research (RIKEN), Meijo University",,1997,3,Triangular,Omnidirectional,2,2.9 m,,Yes,Azimuth,Yes,Yes,,ITD via Zero-crossing (variation),,,,Characterization graph
Humanoid robot - development of an information assistant robot hadaly,"S. Hashimolo, S. Narita, H. Kasahara, A. Takanishi, S. Sugano, K. Shirai, T. Kobayashi, H. Takanobu, T. Kurata, K. Fujiwara, T. Matsuno, T. Kawasaki, K. Hoashi",hashimoto1997humanoid,Waseda University,Hadaly (full service robot),1997,2,Binaural,,1,,,,Azimuth,,,,ITD via Cross-correlation,,,,
A model-based sound localization system and its application to robot navigation,"J. Huang, T. Supaongprapa, I. Terakura, F. Wang, N. Ohnishi, N. Sugie",Huang1999199,"University of Aizu, The Institute of Physical and Chemical Research (RIKEN), Nagota University, Meijo University",RWI B-12,1999,3,Triangular,Omnidirectional,1,5 m,,Yes,"Azimuth, Distance",,Yes,,ITD via Zero-crossing,,MTT DSP-1025,,Error
Sound source localization and signal separation for office robot “jijo-2”,"Asono, F., Asoh, H., Matsui, T.",815997,Electrotechnical Laboratory,Jijo-2 (full service robot),1999,8,Circular,,2,1 m,,,Azimuth,,,,MUSIC (variation),,In house DSP (16khz),,Detection
